DATAFLOW,FREQ,REF_AREA,DATA_TYPE,MEASURE,COICOP_REV_ISTAT,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_MEASURE,NOTE_COICOP_REV_ISTAT,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,1996-01,102.4,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,1996-02,102.8,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,1996-03,103.1,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,1996-04,103.7,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,1996-05,104.1,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,1996-06,104.2,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,1996-07,104.1,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,1996-08,104.2,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,1996-09,104.4,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,1996-10,104.5,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,1996-11,104.8,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,1996-12,104.9,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,1997-01,105.1,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,1997-02,105.2,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,1997-03,105.4,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,1997-04,105.5,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,1997-05,105.8,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,1997-06,105.8,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,1997-07,105.8,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,1997-08,105.8,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,1997-09,106,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,1997-10,106.3,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,1997-11,106.6,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,1997-12,106.6,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,1998-01,106.9,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,1998-02,107.1,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,1998-03,107.4,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,1998-04,107.5,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,1998-05,107.7,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,1998-06,107.8,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,1998-07,107.8,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,1998-08,107.9,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,1998-09,108,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,1998-10,108.2,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,1998-11,108.3,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,1998-12,108.3,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,1999-01,108.4,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,1999-02,108.6,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,1999-03,108.8,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,1999-04,109.1,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,1999-05,109.4,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,1999-06,109.3,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,1999-07,109.6,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,1999-08,109.7,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,1999-09,109.9,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,1999-10,110.1,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,1999-11,110.5,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,1999-12,110.6,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2000-01,110.7,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2000-02,111.2,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2000-03,111.4,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2000-04,111.5,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2000-05,111.9,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2000-06,112.3,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2000-07,112.4,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2000-08,112.5,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2000-09,112.7,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2000-10,113,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2000-11,113.4,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2000-12,113.5,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2001-01,114,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2001-02,114.4,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2001-03,114.5,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2001-04,115,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2001-05,115.3,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2001-06,115.5,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2001-07,115.5,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2001-08,115.5,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2001-09,115.5,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2001-10,115.9,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2001-11,116,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2001-12,116.1,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2002-01,116.6,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2002-02,117,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2002-03,117.1,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2002-04,117.6,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2002-05,117.8,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2002-06,118,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2002-07,118.1,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2002-08,118.3,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2002-09,118.5,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2002-10,118.8,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2002-11,119.1,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2002-12,119.2,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2003-01,119.7,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2003-02,119.9,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2003-03,120.3,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2003-04,120.6,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2003-05,120.9,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2003-06,121,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2003-07,121.1,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2003-08,121.3,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2003-09,121.7,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2003-10,121.7,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2003-11,122.1,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2003-12,122.2,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2004-01,122.4,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2004-02,122.8,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2004-03,123.1,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2004-04,123.3,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2004-05,123.7,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2004-06,123.8,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2004-07,123.9,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2004-08,124.3,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2004-09,124.3,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2004-10,124.3,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2004-11,124.4,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2004-12,124.6,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2005-01,124.6,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2005-02,125,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2005-03,125.2,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2005-04,125.6,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2005-05,125.8,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2005-06,126,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2005-07,126.3,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2005-08,126.6,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2005-09,126.6,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2005-10,126.8,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2005-11,127,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2005-12,127,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2006-01,127.3,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2006-02,127.6,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2006-03,127.9,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2006-04,128.3,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2006-05,128.5,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2006-06,128.7,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2006-07,129.2,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2006-08,129.4,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2006-09,129.3,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2006-10,129,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2006-11,129.3,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2006-12,129.3,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2007-01,129.4,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2007-02,129.8,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2007-03,129.9,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2007-04,130.2,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2007-05,130.6,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2007-06,130.8,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2007-07,131.1,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2007-08,131.3,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2007-09,131.3,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2007-10,131.8,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2007-11,132.3,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2007-12,132.7,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2008-01,133.2,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2008-02,133.5,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2008-03,134.2,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2008-04,134.5,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2008-05,135.2,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2008-06,135.8,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2008-07,136.4,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2008-08,136.6,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2008-09,136.2,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2008-10,136.2,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2008-11,135.7,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2008-12,135.5,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2009-01,135.3,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2009-02,135.6,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2009-03,135.7,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2009-04,136,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2009-05,136.3,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2009-06,136.5,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2009-07,136.5,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2009-08,136.9,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2009-09,136.6,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2009-10,136.6,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2009-11,136.8,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2009-12,137.1,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2010-01,137.3,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2010-02,137.4,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2010-03,137.7,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2010-04,138.2,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2010-05,138.3,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2010-06,138.3,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2010-07,138.8,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2010-08,139.1,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2010-09,138.7,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2010-10,139.1,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2010-11,139.2,,,,,,,,,,
IT1:144_110_DF_DCSP_FOI1_1(1.0),M,IT,4,4,00,2010-12,139.7,,,,,,,,,,
